RT,SERIALNO,PUMA,HHL,HHT
H,4748,4620,2.0,1.0
H,4758,5905,1.0,1.0
H,4761,2316,2.0,1.0
H,4771,2200,1.0,4.0
H,4781,5303,1.0,1.0
H,4789,4632,2.0,1.0
H,4792,1400,1.0,1.0
H,4796,5910,5.0,1.0
H,4811,1906,1.0,1.0
H,4822,5907,2.0,1.0
H,4836,2004,4.0,1.0
H,4861,1502,1.0,1.0
H,4887,2501,1.0,1.0
H,4890,1901,2.0,6.0
H,4899,5700,1.0,1.0
H,4901,1300,1.0,3.0
H,4913,4616,2.0,1.0
H,4922,5904,2.0,1.0
H,4940,900,1.0,1.0
H,4943,4905,2.0,4.0
H,4949,2314,5.0,3.0
H,4985,3602,2.0,4.0
H,4986,600,1.0,1.0
H,5005,2513,2.0,1.0
H,5072,1600,1.0,1.0
H,5077,5904,2.0,3.0
H,5082,2311,1.0,1.0
H,5092,501,1.0,6.0
H,5106,2200,1.0,3.0
H,5133,4628,1.0,1.0
H,5155,1501,1.0,3.0
H,5166,800,1.0,1.0
H,5174,4100,,
H,5183,4615,1.0,3.0
H,5203,4609,1.0,1.0
H,5230,2514,1.0,1.0
H,5259,3900,1.0,1.0
H,5260,3601,,
H,5262,2313,1.0,2.0
H,5273,4633,1.0,7.0
H,5302,3400,1.0,3.0
H,5311,1800,,
H,5313,4638,4.0,6.0
H,5314,1906,1.0,1.0
H,5322,3602,1.0,1.0
H,5335,5000,1.0,1.0
H,5356,4803,1.0,4.0
H,5358,5800,,
H,5367,4801,4.0,1.0
H,5395,800,,
H,5409,5309,1.0,6.0
H,5429,4612,1.0,3.0
H,5465,3602,,
H,5468,2600,,
H,5495,400,1.0,2.0
H,5499,300,1.0,4.0
H,5505,6100,2.0,1.0
H,5522,4637,1.0,3.0
H,5535,4000,1.0,1.0
H,5538,4602,2.0,2.0
H,5553,1904,1.0,1.0
H,5572,6301,2.0,6.0
H,5574,6601,1.0,1.0
H,5585,2102,1.0,1.0
H,5597,3400,1.0,6.0
H,5602,2322,3.0,1.0
H,5618,4625,,
H,5623,6803,2.0,1.0
H,5624,2002,2.0,2.0
H,5652,3306,,
H,5659,2317,1.0,1.0
H,5688,5914,2.0,1.0
H,5724,2102,1.0,3.0
H,5738,4803,1.0,1.0
H,5739,5306,2.0,1.0
H,5744,2800,1.0,1.0
H,5747,5910,2.0,7.0
H,5761,4611,2.0,3.0
H,5763,1901,,
H,5765,4801,1.0,1.0
H,5784,2001,1.0,1.0
H,5800,3900,1.0,1.0
H,5809,1501,2.0,1.0
H,5817,3400,,
H,5845,3602,1.0,1.0
H,5856,2308,1.0,1.0
H,5857,3602,1.0,4.0
H,5862,6603,2.0,1.0
H,5877,6200,2.0,4.0
H,5883,4604,4.0,1.0
H,5886,800,1.0,6.0
H,5888,2005,,
H,5906,400,1.0,1.0
H,5913,5904,1.0,6.0
H,5924,4616,3.0,1.0
H,5939,800,1.0,1.0
H,5965,3400,1.0,1.0
H,5971,4635,2.0,3.0
H,5982,4625,1.0,6.0
H,5984,5906,2.0,3.0
H,5998,4624,1.0,3.0
H,6004,4635,1.0,4.0
H,6011,5907,1.0,1.0
H,6016,4624,4.0,1.0
H,6023,4613,2.0,3.0
H,6037,502,1.0,3.0
H,6039,700,2.0,1.0
H,6046,4302,,
H,6068,3601,1.0,6.0
H,6076,3801,1.0,1.0
H,6106,2307,1.0,1.0
H,6113,4501,2.0,3.0
H,6119,5901,,
H,6147,4702,2.0,3.0
H,6148,3304,2.0,4.0
H,6162,100,,
H,6189,3301,2.0,1.0
H,6190,6100,2.0,4.0
H,6212,2314,1.0,4.0
H,6219,3700,1.0,1.0
H,6258,3802,1.0,6.0
H,6306,1904,1.0,1.0
H,6331,2400,1.0,1.0
H,6362,2508,1.0,1.0
H,6373,6500,,
H,6376,1906,3.0,3.0
H,6403,2900,2.0,6.0
H,6404,5204,1.0,1.0
H,6415,4613,1.0,4.0
H,6512,2101,1.0,6.0
H,6540,4632,1.0,1.0
H,6541,5202,1.0,6.0
H,6543,2315,1.0,4.0
H,6564,6500,1.0,1.0
H,6569,4622,1.0,1.0
H,6581,2101,1.0,3.0
H,6618,3900,,
H,6653,5907,2.0,1.0
H,6699,900,1.0,1.0
H,6703,4618,2.0,2.0
H,6708,4903,3.0,1.0
H,6713,4634,1.0,1.0
H,6740,5912,2.0,3.0
H,6744,3305,1.0,4.0
H,6765,5912,1.0,1.0
H,6767,6000,1.0,6.0
H,6769,3700,1.0,1.0
H,6773,502,1.0,6.0
H,6774,900,1.0,3.0
H,6786,5000,,
H,6790,4602,,
H,6798,1903,1.0,5.0
H,6818,1000,1.0,1.0
H,6830,5912,2.0,1.0
H,6833,4627,2.0,1.0
H,6836,2514,1.0,6.0
H,6906,4630,3.0,1.0
H,6916,4630,1.0,2.0
H,6919,5907,2.0,4.0
H,6957,6601,1.0,1.0
H,6977,6000,1.0,6.0
H,6981,2303,1.0,6.0
H,6987,1800,1.0,1.0
H,6997,3700,,
H,7007,5908,1.0,4.0
H,7033,2515,1.0,4.0
H,7035,6900,2.0,3.0
H,7037,6801,2.0,1.0
H,7039,3602,,
H,7051,4636,1.0,4.0
H,7060,2101,1.0,6.0
H,7063,1906,1.0,6.0
H,7068,6701,2.0,3.0
H,7077,4608,2.0,1.0
H,7088,1903,1.0,4.0
H,7106,4625,1.0,2.0
H,7111,5907,2.0,1.0
H,7127,3100,1.0,1.0
H,7130,2600,1.0,1.0
H,7139,2001,1.0,4.0
H,7144,2308,2.0,1.0
H,7149,2308,1.0,1.0
H,7160,5914,2.0,2.0
H,7200,4628,1.0,3.0
H,7202,4621,1.0,1.0
H,7203,2508,2.0,1.0
H,7236,3900,1.0,1.0
H,7243,3900,1.0,5.0
H,7253,2303,1.0,1.0
H,7255,1903,3.0,1.0
H,7268,600,3.0,1.0
H,7271,2600,1.0,1.0
H,7275,6000,1.0,1.0
H,7287,5906,2.0,1.0
H,7293,700,1.0,3.0
H,7298,501,1.0,5.0
H,7301,5308,2.0,2.0
H,7305,2505,1.0,6.0
H,7316,2505,1.0,6.0
H,7318,2700,1.0,1.0
H,7327,4625,4.0,5.0
H,7329,3700,1.0,1.0
H,7332,1200,1.0,4.0
H,7348,4618,1.0,3.0
H,7356,3400,1.0,1.0
H,7361,5909,1.0,1.0
H,7363,1300,1.0,1.0
H,7373,5202,2.0,5.0
H,7374,5904,1.0,4.0
H,7384,4904,3.0,2.0
H,7391,5909,5.0,3.0
H,7412,2311,1.0,4.0
H,7421,4607,1.0,3.0
H,7426,2003,1.0,1.0
H,7436,600,1.0,1.0
H,7447,4501,1.0,4.0
H,7448,6900,,
H,7449,900,1.0,4.0
H,7461,4626,2.0,4.0
H,7474,6601,,
H,7475,5903,,
H,7482,5000,1.0,2.0
H,7484,2513,1.0,1.0
H,7486,4616,2.0,1.0
H,7504,5904,2.0,1.0
H,7515,2800,2.0,1.0
H,7520,2312,1.0,4.0
H,7531,2318,,
H,7564,5903,2.0,1.0
H,7567,4603,,
H,7571,6100,2.0,3.0
H,7580,4632,1.0,1.0
H,7581,200,2.0,4.0
H,7603,2511,1.0,6.0
H,7612,5914,2.0,2.0
H,7621,1903,1.0,1.0
H,7629,5913,2.0,1.0
H,7639,4502,2.0,3.0
H,7664,5903,2.0,1.0
H,7670,2002,1.0,6.0
H,7672,3801,2.0,1.0
H,7683,4616,1.0,1.0
